fold_id,entity_id,trade_date,horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,score,score_available,feature_asof_date,event_label,future_mae,future_mdd,future_return
fold_1,industry:专业工程,2014-01-13,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015352718067402904,0.0,0.015352718067402904
fold_1,industry:专业工程,2014-01-13,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015352718067402904,0.0,0.02564864990592164
fold_1,industry:专业工程,2014-01-13,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015352718067402904,0.0,0.02564864990592164
fold_1,industry:专业工程,2014-01-13,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015352718067402904,0.0,0.02564864990592164
fold_1,industry:专业工程,2014-01-13,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.015352718067402904,0.0,0.02564864990592164
fold_1,industry:专业工程,2014-01-13,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.0026548402683217454
fold_1,industry:专业工程,2014-01-13,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.0026548402683217454
fold_1,industry:专业工程,2014-01-13,5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.0026548402683217454
fold_1,industry:专业工程,2014-01-13,5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.0026548402683217454
fold_1,industry:专业工程,2014-01-13,10,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.04596114278491137
fold_1,industry:专业工程,2014-01-13,10,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.04596114278491137
fold_1,industry:专业工程,2014-01-13,10,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.04596114278491137
fold_1,industry:专业工程,2014-01-13,10,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.04596114278491137
fold_1,industry:专业工程,2014-01-13,20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.155794874690512
fold_1,industry:专业工程,2014-01-13,20,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.155794874690512
fold_1,industry:专业工程,2014-01-13,20,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.155794874690512
fold_1,industry:专业工程,2014-01-13,20,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.0026548402683217454,0.022418797742978502,0.155794874690512
fold_1,industry:专业服务,2014-01-13,1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.019544208601394164
fold_1,industry:专业服务,2014-01-13,1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.019544208601394164
fold_1,industry:专业服务,2014-01-13,1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.019544208601394164
fold_1,industry:专业服务,2014-01-13,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.019544208601394164
fold_1,industry:专业服务,2014-01-13,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.023439944986916705
fold_1,industry:专业服务,2014-01-13,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.023439944986916705
fold_1,industry:专业服务,2014-01-13,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.023439944986916705
fold_1,industry:专业服务,2014-01-13,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.019544208601394164,0.0,0.023439944986916705
fold_1,industry:专业服务,2014-01-13,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,-0.008318506742645226
fold_1,industry:专业服务,2014-01-13,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,-0.008318506742645226
fold_1,industry:专业服务,2014-01-13,5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,-0.008318506742645226
fold_1,industry:专业服务,2014-01-13,5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,-0.008318506742645226
fold_1,industry:专业服务,2014-01-13,10,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.06848831620503759
fold_1,industry:专业服务,2014-01-13,10,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.06848831620503759
fold_1,industry:专业服务,2014-01-13,10,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.06848831620503759
fold_1,industry:专业服务,2014-01-13,10,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.06848831620503759
fold_1,industry:专业服务,2014-01-13,20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.23519054148965757
fold_1,industry:专业服务,2014-01-13,20,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.23519054148965757
fold_1,industry:专业服务,2014-01-13,20,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.23519054148965757
fold_1,industry:专业服务,2014-01-13,20,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,-0.008318506742645226,0.031031084808760268,0.23519054148965757
fold_1,industry:专业连锁Ⅱ,2014-01-13,1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.0,0.012637211792097203
fold_1,industry:专业连锁Ⅱ,2014-01-13,1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.0,0.012637211792097203
fold_1,industry:专业连锁Ⅱ,2014-01-13,1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,0.11270491803278689,True,2014-01-09,False,0.012637211792097203,0.0,0.012637211792097203
