fold_id,asof_mode,model_variant,entity_id,trade_date,feature_asof_date,horizon,threshold_type,threshold_value,target_usage,score,score_available,event_label,future_mae,future_mdd,future_return
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:包装印刷,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.3103969863711815,True,False,0.023435527490812014,0.0,0.023435527490812014
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化妆品,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.2460409715794275,True,False,0.017898128650228662,0.0,0.017898128650228662
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学制品,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.05322493264330805,True,False,0.025547265032802136,0.0,0.025547265032802136
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学制药,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.182626388895019,True,False,0.02110486497957087,0.0,0.02110486497957087
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学原料,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12966793916685337,True,False,0.019738853559413405,0.0,0.019738853559413405
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学纤维,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.061189738728176526,True,False,0.02656205878559903,0.0,0.02656205878559903
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医疗器械,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.15010683001873298,True,False,0.0267183641105746,0.0,0.0267183641105746
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医疗服务,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.1769359766478829,True,False,0.024787804455593365,0.0,0.024787804455593365
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医药商业,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.12265656629599023,True,False,0.014681504452900063,0.0,0.014681504452900063
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:半导体,2014-01-13,2014-01-10,1,fixed,0.03,diagnostic_only,0.03475712336027656,True,False,0.033931738097782604,0.0,0.033931738097782604
