horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
5,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
10,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,249,0.1133879781420765,1.0,0.3641097517960904,0.08154882451482703,0.10964366941980949,-0.15830895774775366,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.7616648411829134,0.5211391018619934,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,73,0.033242258652094715,1.0,0.2496693100355532,0.01866175992615508,0.03692315522111739,-0.16488648957043145,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.27347447073474473,0.13673723536737237,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,12,0.00546448087431694,1.0,0.16483516483516483,0.0030306808568149146,0.010265058532652515,-0.09078412990032037,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0004610419548178884,0.005328082212069635,-0.02614137139488797,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,463,0.21083788706739526,1.0,0.2764896638620901,0.1352553324465213,0.20347377482755533,-0.33498235931589604,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.40962104849793834,0.2910465344590615,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,242,0.11020036429872496,1.0,0.2120718678362672,0.06193204868378755,0.11140527770909853,-0.33127496065083106,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.12374154770848984,0.06187077385424492,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,84,0.03825136612021858,1.0,0.1946699134199134,0.020768951939284592,0.04225012228492938,-0.21517447365464637,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.1,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,36,0.01639344262295082,1.0,0.17993827160493828,0.009053538184689977,0.020970705162889312,-0.14932977839684014,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,17,0.007741347905282332,1.0,0.28263099640957806,0.004723829894956997,0.0119373947277326,-0.06999793673034523,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.5871657754010695,0.5871657754010695,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0006807351940095302,0.0004558054164828032,-0.02614137139488797,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.0,0.0,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,0.0,,,,,,,0.006574957204853787,0.003234806734024323,insufficient_unique_scores
1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,0.0,,,,,,,0.006574957204853787,0.003234806734024323,insufficient_unique_scores
3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,89,0.04052823315118397,1.0,0.5624563386891208,0.04808492474909855,0.12110313624436381,0.045252058621452464,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,1.5701736465781408,0.841164453524004,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,9,0.004098360655737705,1.0,0.35124218869074836,0.0031381976054551614,0.0065543909940577495,-0.03491885339192827,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,0.0,0.0,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,3.1143621786258175e-07,,0.12031715179452071,-0.11352028637227339,0.013089292729537941,,,0.006730392906577208,0.008648749221217921,insufficient_unique_scores
3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,0.0,,,,,,,0.0031675675929330642,0.007101260711016096,insufficient_unique_scores
5,fixed,0.03,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,116,0.052823315118397086,1.0,0.5606763925729443,0.06385169423990872,0.3143420298951346,0.049867197640638516,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,1.2047021943573666,0.7314263322884013,-0.009460489116031067,0.014368808925056778,pass
5,fixed,0.05,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,17,0.007741347905282332,1.0,0.4209567259671193,0.00644036209500686,0.09598385441137845,-0.025453795174670987,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,0.0,0.0,-0.009460489116031067,0.014368808925056778,non_monotonic
5,fixed,0.08,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,0.0006160524038962534,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
5,fixed,0.1,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,0,0.0,1.0,,,6.063044002873925e-06,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
10,fixed,0.03,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,249,0.1133879781420765,1.0,0.4773516252993484,0.08985526627041772,0.28594838838734216,-0.02638482629129228,0.14139304214462226,-0.05816073840782317,0.18686509376573382,0.6414019715224534,0.48105147864184006,0.002113230021999455,0.021031667644853154,non_monotonic
10,fixed,0.05,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,73,0.033242258652094715,1.0,0.5661250879151369,0.030021910715457723,0.11857253362906336,0.04355492177332152,0.14139304214462226,-0.05816073840782317,0.18686509376573382,0.6836861768368618,0.47858032378580323,0.002113230021999455,0.021031667644853154,non_monotonic
10,fixed,0.08,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,12,0.00546448087431694,1.0,0.16483516483516483,0.0030306808568149146,0.013951253894313554,-0.09078412990032037,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.1,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0004610419548178884,0.004905995252172356,-0.02614137139488797,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
20,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_slice_event_rate,2196,2196,463,0.21083788706739526,1.0,0.2764896638620901,0.1352553324465213,0.18532246453230217,-0.33498235931589604,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.40962104849793834,0.2910465344590615,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.05,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,242,0.11020036429872496,1.0,0.2120718678362672,0.06193204868378755,0.10244080477809116,-0.33127496065083106,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.12374154770848984,0.06187077385424492,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.08,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,84,0.03825136612021858,1.0,0.1946699134199134,0.020768951939284592,0.0418550679204127,-0.21517447365464637,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.1,eligible,empirical_event_rate,rolling_slice_event_rate,2196,2196,36,0.01639344262295082,1.0,0.17993827160493828,0.009053538184689977,0.023327262627589506,-0.14932977839684014,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
1,fixed,0.03,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,17,0.007741347905282332,1.0,0.28263099640957806,0.004723829894956997,0.01583196959342746,-0.06999793673034523,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.5871657754010695,0.5871657754010695,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.05,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0006807351940095302,0.009713539075429763,-0.02614137139488797,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.0,0.0,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.08,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,,,-0.005048699334649699,0.008397846285169404,insufficient_unique_scores
1,fixed,0.1,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,,,-0.005048699334649699,0.008397846285169404,insufficient_unique_scores
3,fixed,0.03,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,89,0.04052823315118397,1.0,0.5624563386891208,0.04808492474909855,0.04190624042805559,0.045252058621452464,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,1.5701736465781408,0.841164453524004,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.05,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,9,0.004098360655737705,1.0,0.35124218869074836,0.0031381976054551614,0.012702156990531786,-0.03491885339192827,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,0.0,0.0,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.08,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,,,-0.009385796652212418,0.013076496109696214,insufficient_unique_scores
3,fixed,0.1,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,,,-0.009385796652212418,0.013076496109696214,insufficient_unique_scores
5,fixed,0.03,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,116,0.052823315118397086,1.0,0.5606763925729443,0.06385169423990872,0.051741357083990074,0.049867197640638516,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,1.2047021943573666,0.7314263322884013,-0.009460489116031067,0.014368808925056778,pass
5,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,17,0.007741347905282332,1.0,0.4209567259671193,0.00644036209500686,0.015609488841695943,-0.025453795174670987,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,0.0,0.0,-0.009460489116031067,0.014368808925056778,non_monotonic
5,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
5,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,0,0.0,1.0,,,0.009323027239388288,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
10,fixed,0.03,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,249,0.1133879781420765,1.0,0.3641097517960904,0.08154882451482703,0.10320389783209356,-0.15830895774775366,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.7616648411829134,0.5211391018619934,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,73,0.033242258652094715,1.0,0.2496693100355532,0.01866175992615508,0.03732129744670672,-0.16488648957043145,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.27347447073474473,0.13673723536737237,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,12,0.00546448087431694,1.0,0.16483516483516483,0.0030306808568149146,0.014009169271885996,-0.09078412990032037,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
10,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0004610419548178884,0.009713539075429762,-0.02614137139488797,-0.038878137855290436,-0.3486243966329117,0.19346868505676165,0.0,0.0,-0.010467802413186381,0.020446049798203886,non_monotonic
20,fixed,0.03,diagnostic_only,empirical_event_rate,expanding_global_event_rate,2196,2196,463,0.21083788706739526,1.0,0.2764896638620901,0.1352553324465213,0.18532246453230217,-0.33498235931589604,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.40962104849793834,0.2910465344590615,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,242,0.11020036429872496,1.0,0.2120718678362672,0.06193204868378755,0.10244080477809116,-0.33127496065083106,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.12374154770848984,0.06187077385424492,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,84,0.03825136612021858,1.0,0.1946699134199134,0.020768951939284592,0.0418550679204127,-0.21517447365464637,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
20,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,2196,2196,36,0.01639344262295082,1.0,0.17993827160493828,0.009053538184689977,0.023327262627589506,-0.14932977839684014,0.20056231103325475,-0.7179825031426283,0.6606872851847893,0.0,0.0,-0.010544588758521531,0.03188547886386839,non_monotonic
1,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,2196,2196,17,0.007741347905282332,1.0,0.2559862862079205,0.005694926423486217,0.019342517362485906,-0.0741135520810213,-0.049706104492574225,0.004303459301024138,-0.049706104492574225,0.5871657754010695,0.29358288770053476,0.004477050779031594,0.0035577717177971515,non_monotonic
1,fixed,0.05,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.1460136674259681,0.0005373455131649651,0.01280705561239948,-0.026171829018097535,-0.049706104492574225,0.004303459301024138,-0.049706104492574225,0.0,0.0,0.004477050779031594,0.0035577717177971515,non_monotonic
1,fixed,0.08,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,2196,2196,0,0.0,1.0,,,0.012379643731148082,,-0.049706104492574225,0.004303459301024138,-0.049706104492574225,,,0.004477050779031594,0.0035577717177971515,insufficient_unique_scores
