asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason,fold_count
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,156237,157442,157442,6383,151059,0.04054191384763913,0.155476122830077,0.155476122830077,0.155476122830077,0.0,0.49089818640332183,0.3239021101707832,0.7022351729980064,0.18157242605013163,-0.030362044080311346,0.6363189093922959,0.07314368433608398,1.0,1.0,7,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,platt_logistic_calibration,156237,157442,157442,6383,151059,0.04054191384763913,0.038968900303163564,0.155476122830077,0.038968900303163564,0.11650722252691345,0.17091953794147768,0.023501845020471552,0.166887352691518,0.5613097472756707,0.031330518904693884,0.6324858533228224,0.07258375370097712,0.9926168867322775,0.9868504804173988,7,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,isotonic_calibration,156237,157442,157442,6383,151059,0.04054191384763913,0.03879900608388691,0.155476122830077,0.03879900608388691,0.11667711674619012,0.1709301153164398,0.020882075486018156,0.03661845935011087,0.8520655971753415,0.006254830810348513,0.6355729945061344,0.07425463643499947,0.9998163228078374,1.0126995869131248,7,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,156237,157442,157442,1702,155740,0.010810330153326305,0.09499352112733879,0.09499352112733879,0.09499352112733879,0.0,0.3390250614471252,0.24977794040434934,0.7561525050937619,0.056540137639872236,-0.0029583311965861816,0.66407365896407,0.029934507463847838,1.0,1.0,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,platt_logistic_calibration,156237,157442,157442,1702,155740,0.010810330153326305,0.010742241906283269,0.09499352112733879,0.010742241906283269,0.0842512792210555,0.06207895046311518,0.009857068241370977,0.03379800228893334,1.9981783540127094,-0.008681491892085159,0.6909389701310357,0.030571315577450586,1.0734680398471341,1.0828547559039816,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,isotonic_calibration,156237,157442,157442,1702,155740,0.010810330153326305,0.01067794525854679,0.09499352112733879,0.01067794525854679,0.08431557586879199,0.07456085270644972,0.0072299105727158,0.0210603836661595,0.8091044901044186,0.00428132773285988,0.6706905143901054,0.030062740977987536,1.028709978197991,1.0439719841637796,1,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,156237,157442,157442,381,157061,0.0024199387711030095,0.04956179958278456,0.04956179958278456,0.04956179958278456,0.0,0.2018266214399361,0.1563171984047122,0.7911370144864591,0.02502269955631738,0.0013691547795113778,0.74031017858626,0.03357679653148059,1.0,1.0,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,156237,141694,141694,297,141397,0.002096066170762347,0.0020997862690371734,0.0480491662493743,0.0020997862690371734,0.04594937998033713,0.015296910120983994,0.0026283562646496343,0.0056804788629281015,-19.41360046625821,-0.002727380052343475,0.6011172926900297,0.033109396668739625,0.8928570725319678,0.8696204843193467,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,156237,141694,141694,297,141397,0.002096066170762347,0.0020842350976283527,0.0480491662493743,0.0020842350976283527,0.04596493115174596,0.025309079776336566,0.0009779481926380665,0.010895064831288789,0.4958256870705308,0.001149810160906634,0.7107707127435285,0.02741951858321482,0.9885607080505949,0.9918270586628829,0,mixed_or_non_monotonic,aggregate,,10
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,156237,157442,157442,118,157324,0.0007494823490555253,0.028856789815765376,0.028856789815765376,0.028856789815765376,0.0,0.13438812316115156,0.11010519668931673,0.7485843313749754,0.012096978396527758,0.000846083010379986,0.7232109942025629,0.03294432656058147,1.0,1.0,0,mixed_or_non_monotonic,aggregate,,10
