fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,cluster_type,metric_name,cluster_count,min_cluster_size,max_cluster_size,clustered_metric_mean,clustered_metric_std,bootstrap_or_cluster_se_rows,confidence_interval_low,confidence_interval_high,uncertainty_status
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.0018305904033695246,0.0022544483201837793,0.00020004993920572997,0.001438492522526294,0.0022226882842127553,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.0018316084717075424,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.0018316084717075424,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.0007796835264303209,0.005374924634702349,0.0004826824811934341,-0.00016637413670881002,0.0017257411895694518,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.0007801702209649931,0.002044765453078008,0.00018144359350179596,0.00042454077770147304,0.0011357996642285132,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.0007811028997389682,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.0007811028997389682,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.000608935744956786,0.005390436092311529,0.0004840754512078203,-0.0003398521394105417,0.0015577236293241137,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.000609426419630585,0.0020623890687695985,0.00018300743651213406,0.00025073184406680226,0.0009681209951943677,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,fold_id,brier_loss,1,15710,15710,0.0006103704366549504,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,slice_key,brier_loss,1,15710,15710,0.0006103704366549504,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,entity_id,brier_loss,124,89,127,0.001950356784350414,0.018894197881711625,0.0016967490585492336,-0.0013752713704060838,0.005275984939106911,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,trade_date,brier_loss,127,123,124,0.0019496648887483408,0.003048221639376195,0.00027048593138435245,0.00141951246323501,0.002479817314261672,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,fold_id,brier_loss,1,15710,15710,0.0019536095964688025,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,slice_key,brier_loss,1,15710,15710,0.0019536095964688025,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,entity_id,brier_loss,124,89,127,0.00044428933464890305,0.004946095920716202,0.00044417252584681645,-0.00042628881601085723,0.0013148674853086634,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,trade_date,brier_loss,127,123,124,0.000444289334141633,0.0018463320738554014,0.00016383547842793435,0.00012317179642288168,0.0007654068718603843,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,fold_id,brier_loss,1,15710,15710,0.00044536371683109356,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,slice_key,brier_loss,1,15710,15710,0.00044536371683109356,,,,,insufficient_clusters
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,isotonic_calibration,entity_id,brier_loss,124,89,127,0.00044344796258262496,0.0049379482522611574,0.0004434408436199753,-0.00042569609091252657,0.0013125920160777765,pass
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,isotonic_calibration,trade_date,brier_loss,127,123,124,0.00044344796258262496,0.0018432667677249974,0.00016356347649311765,0.00012286354865611438,0.0007640323765091355,pass
