asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,row_count,train_row_count,validation_row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_score_uncalibrated,log_loss_uncalibrated,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,quantile_lift_top_decile,quantile_lift_top_quintile,coefficient_l1_norm,coefficient_l2_norm,convergence_status,insufficient_data_reason,best_wp3_baseline_auc,best_wp3_baseline_average_precision,logistic_delta_auc_vs_best_baseline,logistic_delta_ap_vs_best_baseline,logistic_beats_best_baseline_flag
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,313679,0,313679,313679,14196,0.04525645644113887,1.0,0.6514739552566408,0.08411594810094361,0.1638713660067538,0.5103791059928654,0.10907173633678452,0.027808586971051468,0.04387333627234842,2.3393839199615054,1.9723802998772102,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,313679,0,313679,313679,4072,0.01298142368472228,1.0,0.6583159542654375,0.032536220788449456,0.10232135745199152,0.359767377303308,0.06207820225622375,0.02571498297088769,0.043835297196366425,2.8978296616025045,2.2224880031781917,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,313679,0,313679,313679,1012,0.003226228086674594,1.0,0.6606094335598124,0.010946714788106314,0.053678744001930526,0.21792302149922543,0.03155059168821996,0.025367705273296324,0.03747601415738064,2.460466464401172,2.060270111757608,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,313679,0,313679,313679,179,0.0005706470627616129,1.0,0.7134021900866947,0.009272314693976678,0.034399891949086374,0.15385745655962454,0.0176542526903838,0.02256467732046429,0.03349060153768079,1.6201065669885264,1.9273681572794539,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,313431,0,313431,313431,53131,0.16951418334497864,1.0,0.5984662719397246,0.22825130436800767,0.21244545983715116,0.6159742784134193,0.12798151564280263,-0.04695032686501238,0.1435869773927026,1.5909275721689142,1.4580755367311842,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,313431,0,313431,313431,20303,0.0647766175011406,1.0,0.6141647735464948,0.10738262865745271,0.1679661450687557,0.5176756440000042,0.0973395992711541,-0.04758650286174489,0.14185280843774062,2.044466733844432,1.7103165466146393,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,313431,0,313431,313431,5671,0.018093296451212548,1.0,0.6318061866893604,0.03549714100625562,0.10463350757597333,0.36080000544589363,0.06085837901307641,-0.039573270195954045,0.1278451656524863,2.0665955697872334,1.825051651419102,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,313431,0,313431,313431,2751,0.008777051408443964,1.0,0.6596172034683175,0.019529900128160325,0.07469489888760199,0.2770556908137264,0.05157394060342458,-0.03738425469868838,0.12326662915912744,2.0973588958045606,1.9792550025112217,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,313183,0,313183,313183,82891,0.26467273127851765,1.0,0.574102205487919,0.32077920969996615,0.2292986137980504,0.6511632006459437,0.11324438884563605,-0.06071610959661682,0.18457672497826988,1.398431785268355,1.2844496999961326,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,313183,0,313183,313183,38397,0.12260244010690236,1.0,0.5875632397856521,0.17301019325141329,0.19754474953321588,0.5832503512085521,0.0994855975669448,-0.0600245859485727,0.18202504135726652,1.7060847412280615,1.4861743256713416,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,313183,0,313183,313183,12855,0.04104628923025835,1.0,0.5961707301663419,0.06757292019097197,0.14134931038002393,0.4521234595818206,0.06609510684380714,-0.05010026746969176,0.1630502943927676,1.9385019853603926,1.6215376805749302,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,313183,0,313183,313183,6930,0.022127637834748373,1.0,0.5999348061868266,0.03715481443900077,0.11011659723918359,0.3720219148213226,0.050923237988660226,-0.04535265003284292,0.15239703740839788,1.9148201164325562,1.6067718458685458,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,312563,0,312563,312563,129016,0.41276798597402764,1.0,0.5458133148523765,0.45569936833774266,0.245548627807725,0.6847880334139808,0.07813402636039067,-0.06254548157201172,0.20817608587561315,1.2143958203167164,1.144075583838058,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,312563,0,312563,312563,75828,0.24260069170055318,1.0,0.5572435515825284,0.2899630450704008,0.22650694176923988,0.6453276726383147,0.0850013187309283,-0.05799514149737548,0.20289237012203376,1.3820442713209726,1.244321309457974,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,312563,0,312563,312563,32484,0.10392784814581381,1.0,0.5691967612385247,0.13667897494557896,0.18751579704909158,0.5595350224669283,0.07314991884142164,-0.047162944557753314,0.1862076733201762,1.5591942400592451,1.3926767185140674,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,312563,0,312563,312563,19336,0.06186272847393966,1.0,0.571227558856825,0.08478928715951316,0.15983438717092702,0.4936245675459474,0.05944104199228856,-0.04214481912402962,0.17457990327588296,1.6724904709470854,1.4390164437853192,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,311323,0,311323,311323,172059,0.5526703777106092,1.0,0.5280754948340945,0.5809905539272723,0.25790188874025793,0.7109054734049868,0.04835762526443988,-0.05248100454126348,0.2006191817163332,1.0972152297265003,1.0652091583753494,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,311323,0,311323,311323,122130,0.39229353436784303,1.0,0.5280381490564161,0.4253823820629081,0.2489593874128586,0.6934190910292656,0.047423375931288266,-0.046485730224290873,0.19326096392091746,1.1688102053811078,1.1021791144233144,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.08,eligible,311323,0,311323,311323,67736,0.21757467324932625,1.0,0.539889737491569,0.25094772909226776,0.2248016381081135,0.6436420692320364,0.057013463052227334,-0.03666092515863069,0.17706906256950455,1.2848122593856641,1.1989116318410726,,,aggregate,,,,,,False
close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.1,eligible,311323,0,311323,311323,45520,0.14621470305759612,1.0,0.5438372830587226,0.1726535560152215,0.20473933995631027,0.6006449227165025,0.05365424793063353,-0.030617345270251884,0.1639870884409676,1.3259807305546696,1.2513100632719976,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,313679,0,313679,313679,14196,0.04525645644113887,1.0,0.6706418585641729,0.08971569627755088,0.16142486213332702,0.5049669112290849,0.1228739539665143,0.024143993908344475,0.04979950804047477,2.433776405741343,2.069942682567565,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,313679,0,313679,313679,4072,0.01298142368472228,1.0,0.6800997599066636,0.03459282817018113,0.09946690978481408,0.3530507092213333,0.07061997872329401,0.02316062532819226,0.049386698159078264,3.0795579624148646,2.3489610773921994,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,313679,0,313679,313679,1012,0.003226228086674594,1.0,0.6896846878387873,0.010991485009828631,0.05000572262875566,0.20768825113096437,0.037262220548709514,0.024105428478689045,0.04249633986840019,2.9940616012592574,2.327067680186651,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,313679,0,313679,313679,179,0.0005706470627616129,1.0,0.7721691124713765,0.00963920939230658,0.029866804549104647,0.1356717759116183,0.02251589959847721,0.023659715284508238,0.03515554707547754,3.6312733398018695,3.1564145184431633,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,313431,0,313431,313431,53131,0.16951418334497864,1.0,0.612312032582677,0.23692111021428508,0.21094332322019482,0.6128548668337417,0.14597754004187025,-0.056490063336883764,0.15797670154891716,1.6539774641216631,1.5133156516183148,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,313431,0,313431,313431,20303,0.0647766175011406,1.0,0.6335666426918933,0.11460822085010411,0.16540178760902494,0.5121887635604444,0.11388209402725602,-0.055804366035090605,0.15540683969057328,2.1769556645609223,1.8440389202376413,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,313431,0,313431,313431,5671,0.018093296451212548,1.0,0.6584997380632688,0.03866927687961601,0.10129363448300668,0.3526650030692112,0.07318349293619603,-0.045235060821936575,0.13760709420929385,2.3522512714131136,2.075445211323945,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,313431,0,313431,313431,2751,0.008777051408443964,1.0,0.6871981919610023,0.021557625848688103,0.07187120460165354,0.26896016036268566,0.060485638286361346,-0.04280149218212334,0.131618768613218,2.5880754485491284,2.25914964933099,,,aggregate,,,,,,False
close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,313183,0,313183,313183,82891,0.26467273127851765,1.0,0.5831682890221764,0.3273067104359286,0.22831982251285557,0.6491043221829913,0.12709934879318902,-0.07023345593847596,0.198341361837958,1.423645056759132,1.3199780588435883,,,aggregate,,,,,,False
