asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,readiness_category,development_only,evaluation_row_count,positive_event_count,negative_event_count,mean_brier_score,mean_brier_retention,validation_market_event_block_count,mean_log_loss,mean_expected_calibration_error,max_expected_calibration_error,mean_auc,mean_average_precision,clustered_uncertainty_width,fold_count,readiness_reason
close_t_minus_1,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157318,1368,155950,0.06995069442898416,0.0,0,0.25974286033191446,0.1873324839227682,0.7703110852930062,0.6805334146240092,0.05508653825506859,0.015315692615248871,10,diagnostic_only_target_usage
close_t_minus_1,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,research_only,yes,157318,1368,155950,0.00871699532567014,0.06123369910331402,0,0.05754547506201178,0.011270486336371396,0.04886970250511086,0.6699861470169677,0.05455907786597853,0.01511023524722874,10,diagnostic_only_target_usage
close_t_minus_1,3,fixed,0.1,diagnostic_only,isotonic_calibration,research_only,yes,157318,1368,155950,0.00865811842383164,0.06129257600515252,0,0.10515644519277359,0.008523493960647083,0.02274609587028724,0.6642868341177925,0.041631388418525976,0.014996530786361727,10,diagnostic_only_target_usage
close_t_minus_1,5,fixed,0.03,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,40420,116774,0.2236321801464256,0.0,8,0.6390186959370232,0.18687992429792916,0.3684740803864973,0.5645076019771518,0.3064888922800978,0.007577250865656471,10,uncalibrated_reference_not_probability
close_t_minus_1,5,fixed,0.03,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,40420,116774,0.19229968401728587,0.03133249612913975,8,0.5738396481655725,0.07612482644104901,0.215926088124165,0.5739914325681079,0.31152527161926236,0.06539473764378623,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,5,fixed,0.03,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,40420,116774,0.19174777750721725,0.03188440263920837,8,0.5803909902780624,0.07304279119048443,0.31161400110845466,0.562061299809385,0.3082948109210024,0.06501366697811656,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,5,fixed,0.05,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,18315,138879,0.18802550504863919,0.0,6,0.5617906469973162,0.28173224655834816,0.479027586108747,0.5934955535510206,0.1666520932503449,0.010940666657772102,10,uncalibrated_reference_not_probability
close_t_minus_1,5,fixed,0.05,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,18315,138879,0.10482551128849024,0.08319999376014893,6,0.3707019113644154,0.06010330185072386,0.22953718979582155,0.6082764467595554,0.17061401629866835,0.06414479233266299,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,5,fixed,0.05,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,18315,138879,0.10464920031496365,0.08337630473367552,6,0.38260587908615507,0.055507136453860385,0.2361109187074764,0.5895367979920507,0.16180506895782426,0.06359666259226167,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,5,fixed,0.08,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,6159,151035,0.13289679737663077,0.0,2,0.4292087588794603,0.2694673778078318,0.6374343362515212,0.6209751576167054,0.07255285005660557,0.013815719419669137,10,uncalibrated_reference_not_probability
close_t_minus_1,5,fixed,0.08,eligible,platt_logistic_calibration,usable_probability_candidate,yes,157194,6159,151035,0.038431401715396635,0.09446539566123412,2,0.1800564048013989,0.03458266374993445,0.1183318499471095,0.6374762123230061,0.07166120783315635,0.04355964319148277,10,development_calibration_gate_pass
close_t_minus_1,5,fixed,0.08,eligible,isotonic_calibration,usable_probability_candidate,yes,157194,6159,151035,0.03836631406663897,0.09453048330999178,2,0.19539392361735253,0.03014707233319014,0.1740087788288135,0.6282524815942687,0.06954777499925079,0.04338241273854086,10,development_calibration_gate_pass
close_t_minus_1,5,fixed,0.1,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,3305,153889,0.10372964424492168,0.0,0,0.35166308938116875,0.23391333104085438,0.739281435459225,0.6583506486062284,0.04960287910456121,0.01347930299944261,10,uncalibrated_reference_not_probability
close_t_minus_1,5,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,3305,153889,0.02102919363832729,0.08270045060659441,0,0.11691830775045224,0.023384903013618428,0.09751118538131154,0.6711004559356756,0.04874793150585323,0.025767595799690318,10,market_event_block_evidence_below_minimum
close_t_minus_1,5,fixed,0.1,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,3305,153889,0.020852017866547622,0.08287762637837408,0,0.17337936259831202,0.01889365272085749,0.07092936819363707,0.6585739566057929,0.04537935546996287,0.02550854004753076,10,market_event_block_evidence_below_minimum
close_t_minus_1,10,fixed,0.03,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,63952,92870,0.24233591508644342,0.0,2,0.6778422070415002,0.07898640852277702,0.35658007086954113,0.5423763617651668,0.4453275104591275,0.006068959100967608,10,uncalibrated_reference_not_probability
close_t_minus_1,10,fixed,0.03,eligible,platt_logistic_calibration,research_only,yes,156822,63952,92870,0.24705757669002243,-0.0047216616035789805,2,0.6883344279231898,0.09730483265760828,0.2775044407595357,0.5430235492012786,0.4440080931453233,0.05145287062059198,10,calibration_diagnostics_not_ready
close_t_minus_1,10,fixed,0.03,eligible,isotonic_calibration,research_only,yes,156822,63952,92870,0.24686843476683276,-0.004532519680389332,2,0.6955338577012034,0.09294407020066124,0.30846350260016336,0.5388964125179064,0.4399145054638409,0.051640175804830823,10,calibration_diagnostics_not_ready
close_t_minus_1,10,fixed,0.05,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,37516,119306,0.21940774985854014,0.0,4,0.6293785060986894,0.19059030828503015,0.3868594533499268,0.5620733948458446,0.28513839103949296,0.008786689736365594,10,uncalibrated_reference_not_probability
close_t_minus_1,10,fixed,0.05,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,37516,119306,0.18713637532047853,0.032271374538061594,4,0.5656689971069417,0.0891437189959027,0.30465568960745076,0.5718070632003318,0.2897833583194919,0.0792890113404226,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,10,fixed,0.05,eligible,isotonic_calibration,ordinal_only_candidate,yes,156822,37516,119306,0.18704384607170277,0.032363903786837366,4,0.5833003588856097,0.08682049252342576,0.3538800016679776,0.5562532796537709,0.27542469015017124,0.07916451806827501,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,10,fixed,0.08,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,16698,140124,0.18032871179795593,0.0,3,0.5409647372706221,0.265070696818129,0.6156212240439836,0.5832355506207517,0.14515561895352797,0.01102112544428685,10,uncalibrated_reference_not_probability
close_t_minus_1,10,fixed,0.08,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,16698,140124,0.09934045357322652,0.08098825822472941,3,0.3712979216663503,0.07078107886788748,0.19019649975574465,0.5807008684029149,0.1421651882090192,0.07130103116924841,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,10,fixed,0.08,eligible,isotonic_calibration,ordinal_only_candidate,yes,156822,16698,140124,0.09906624084761459,0.08126247095034132,3,0.40550143241466585,0.068003250627549,0.3175667842005802,0.5834012104222742,0.13649603916102102,0.07065899050473291,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,10,fixed,0.1,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,10139,146683,0.15424345939623596,0.0,2,0.47687942670203975,0.26179527904834815,0.6645269054386373,0.6043930829409462,0.09804381921069773,0.00986564189013106,10,uncalibrated_reference_not_probability
close_t_minus_1,10,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,10139,146683,0.06281588106990585,0.09142757832633011,2,0.2761172202995009,0.05385017068073015,0.1457993895864893,0.5630894532958554,0.08897390962238336,0.04995708477401452,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,10,fixed,0.1,eligible,isotonic_calibration,ordinal_only_candidate,yes,156822,10139,146683,0.06275574478655899,0.09148771460967699,2,0.3446811605194785,0.050470628844116,0.19080129956541136,0.6047623696090599,0.0895466895550401,0.049490124600306704,10,ranking_retained_but_probability_gate_not_met
