fold_id,asof_mode,model_variant,entity_id,trade_date,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_protocol,row_role,raw_score,calibrated_score,event_label,future_mae,future_mdd,future_return
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:养殖业,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.19817541640307626,0.19817541640307626,False,-0.019692841673585093,0.019692841673585093,-0.019692841673585093
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:军工电子Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.1671576675968456,0.1671576675968456,False,-0.004875237914678032,0.004875237914678032,-0.004875237914678032
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:农产品加工,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.14563778123868776,0.14563778123868776,False,-0.01247173369899579,0.01247173369899579,-0.01247173369899579
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:农化制品,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.051627376689211385,0.051627376689211385,False,-0.009805225953778862,0.009805225953778862,-0.009805225953778862
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:冶钢原料,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.0454191770260252,0.0454191770260252,False,-0.01896495491492789,0.01896495491492789,-0.01896495491492789
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:出版,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.269162363901227,0.269162363901227,False,-0.00026571573581901653,0.00026571573581901653,-0.00026571573581901653
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:动物保健Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.16729838087787435,0.16729838087787435,False,-0.017801756757040987,0.017801756757040987,-0.017801756757040987
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:包装印刷,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.49519428280301775,0.49519428280301775,False,-0.008466286329279371,0.008466286329279371,-0.008466286329279371
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化妆品,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.18712021304128182,0.18712021304128182,False,-0.01159676687742306,0.01159676687742306,-0.01159676687742306
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学制品,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.15359646369097468,0.15359646369097468,False,-0.012010319130201896,0.012010319130201896,-0.012010319130201896
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学制药,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.35329172274684295,0.35329172274684295,False,-0.015656985507534582,0.015656985507534582,-0.015656985507534582
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学原料,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.2614999509504339,0.2614999509504339,False,-0.011556853175284654,0.011556853175284654,-0.011556853175284654
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:化学纤维,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.15427799959465044,0.15427799959465044,False,-0.005928893568069582,0.005928893568069582,-0.005928893568069582
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医疗器械,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.3676367865833423,0.3676367865833423,False,-0.003436507268258171,0.003436507268258171,-0.003436507268258171
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医疗服务,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.4525713420796212,0.4525713420796212,False,-0.009543815852965709,0.009543815852965709,-0.009543815852965709
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:医药商业,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.21922067015737,0.21922067015737,False,-0.009723598656645849,0.009723598656645849,-0.009723598656645849
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:半导体,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.08132136221320438,0.08132136221320438,False,-0.006069147889520732,0.006069147889520732,-0.006069147889520732
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:厨卫电器,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.04260692885014522,0.04260692885014522,False,-0.026845095986693157,0.026845095986693157,-0.026845095986693157
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:商用车,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.1207154304914358,0.1207154304914358,False,-0.01651425220500069,0.01651425220500069,-0.01651425220500069
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:国有大型银行Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.8127898626985505,0.8127898626985505,False,-0.007082126814591194,0.007082126814591194,-0.007082126814591194
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:地面兵装Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.037096542122836085,0.037096542122836085,False,0.0032987729050473202,0.0,0.0032987729050473202
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,industry:城商行Ⅱ,2014-01-16,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,evaluation,0.7929327772725876,0.7929327772725876,False,-0.013416845394585097,0.013416845394585097,-0.013416845394585097
