slice_id,entity_id,decision_trade_date,apply_trade_date,realized_open_to_open_return,baseline_score,model_score,baseline_bucket,model_bucket,arm_no_downshift_exposure,arm_baseline_driven_exposure,arm_model_driven_exposure
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:化学制药,2016-07-12,2016-07-13,0.0011649637580672945,0.016343155996298663,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:化学原料,2016-07-12,2016-07-13,-0.002184580910040035,0.018991761164407428,0.23373759647188533,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:化学纤维,2016-07-12,2016-07-13,0.004315334586628916,0.018506129134149077,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:医疗器械,2016-07-12,2016-07-13,0.007424606472494544,0.0212095114006204,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:医疗服务,2016-07-12,2016-07-13,-0.0019887239573824766,0.018449581353308972,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:医药商业,2016-07-12,2016-07-13,-0.0018677257778314527,0.018634255707233188,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:半导体,2016-07-12,2016-07-13,-0.00022747675260104128,0.0251721363527261,0.29464285714285715,extreme,low,1.0,0.5,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:厨卫电器,2016-07-12,2016-07-13,-0.012639614790520781,0.019430047684880044,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:商用车,2016-07-12,2016-07-13,0.0030334285211424117,0.016713179520238708,0.25388838060384267,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:国有大型银行Ⅱ,2016-07-12,2016-07-13,0.007209212406835475,0.006059321435785389,0.036036036036036036,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:地面兵装Ⅱ,2016-07-12,2016-07-13,-0.013037675351437517,0.020137684087950553,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:城商行Ⅱ,2016-07-12,2016-07-13,0.012634925507171824,0.010437197927560904,0.11016949152542373,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:基础建设,2016-07-12,2016-07-13,0.0058747188460654964,0.016686914534368952,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:塑料,2016-07-12,2016-07-13,0.054846567907555155,0.02241113708064287,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:多元金融,2016-07-12,2016-07-13,-0.002238868137704464,0.020076020055697086,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:家居用品,2016-07-12,2016-07-13,-3.289074148904447e-05,0.01915610816499032,0.25388838060384267,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:家电零部件Ⅱ,2016-07-12,2016-07-13,0.002379643342765636,0.020570872344074134,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:小家电,2016-07-12,2016-07-13,-8.8892868075785e-05,0.021304423402964734,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:小金属,2016-07-12,2016-07-13,-0.0027815123147031384,0.022817721357537502,0.31847133757961776,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:工业金属,2016-07-12,2016-07-13,0.0009377316127714419,0.020902679904293554,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:工程咨询服务Ⅱ,2016-07-12,2016-07-13,0.012653486957054039,0.022315582284592593,0.25388838060384267,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:工程机械,2016-07-12,2016-07-13,0.00452456091452591,0.015037970696907725,0.22298221614227087,low,low,1.0,1.0,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:广告营销,2016-07-12,2016-07-13,0.016664559443746896,0.023628885179217046,0.23373759647188533,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:影视院线,2016-07-12,2016-07-13,0.03818488438461132,0.022433929727513388,0.22298221614227087,high,low,1.0,0.75,1.0
close_t:h5:fixed:0.0300:eligible:isotonic_calibration,industry:房地产开发,2016-07-12,2016-07-13,0.01010608893557774,0.015011553263439401,0.22298221614227087,low,low,1.0,1.0,1.0
