slice_id,asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,baseline_name,arm,daily_return_count,entity_day_count,mean_exposure,max_drawdown,cvar_95,realized_volatility,total_return,missed_upside_cost,turnover,arm_pair,metric,delta,confidence_interval_low,confidence_interval_high,bootstrap_iterations,ci_status
close_t:h5:fixed:0.0800:eligible:platt_logistic_calibration,close_t,5,fixed,0.08,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9124496058230146,0.29191946236363375,0.032070798955148444,0.013397962578159178,0.8908578427095843,0.7243864259857036,0.005098351897539903,,,,,,,
close_t:h5:fixed:0.1000:eligible:isotonic_calibration,close_t,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t:h5:fixed:0.1000:eligible:isotonic_calibration,close_t,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125158819735903,0.24812253175036447,0.031121249757822857,0.012395595440753705,0.45001583749365004,1.0816402166934667,0.008730970316933862,,,,,,,
close_t:h5:fixed:0.1000:eligible:isotonic_calibration,close_t,5,fixed,0.1,eligible,isotonic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9105274681874478,0.28468431682850326,0.03213376405562668,0.013247562790835466,0.8367797964704631,0.8114901064433067,0.006285342835988127,,,,,,,
close_t:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_no_downshift,1268.0,157194.0,1.0,0.2972699261613555,0.03514266042186705,0.01465981223999806,1.0909387724660857,,0.0,,,,,,,
close_t:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_baseline_driven,1268.0,157194.0,0.9125158819735903,0.24812253175036447,0.031121249757822857,0.012395595440753705,0.45001583749365004,1.0816402166934667,0.008730970316933862,,,,,,,
close_t:h5:fixed:0.1000:eligible:platt_logistic_calibration,close_t,5,fixed,0.1,eligible,platt_logistic_calibration,rolling_close_to_close_vol_20,arm_model_driven,1268.0,157194.0,0.9124347657565312,0.2953628644414652,0.03228857588155786,0.013531107202271353,0.8948099368423992,0.6742814469054652,0.0051413418473874655,,,,,,,
close_t:h10:fixed:0.0500:eligible:isotonic_calibration,close_t,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.0500:eligible:isotonic_calibration,close_t,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
close_t:h10:fixed:0.0500:eligible:isotonic_calibration,close_t,10,fixed,0.05,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.8998658246336384,0.2730919910772671,0.030537125795610298,0.01284173639411964,0.9067979825741879,0.9252653106936035,0.004373803850584444,,,,,,,
close_t:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
close_t:h10:fixed:0.0500:eligible:platt_logistic_calibration,close_t,10,fixed,0.05,eligible,platt_logistic_calibration,ewma_close_to_close_vol,arm_model_driven,1265.0,156822.0,0.9125100420964686,0.2721309440895209,0.030982097379466708,0.013034618746592931,0.9159015496350149,0.8188244223755787,0.0057442663672247155,,,,,,,
close_t:h10:fixed:0.0800:eligible:isotonic_calibration,close_t,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_no_downshift,1265.0,156822.0,1.0,0.2972699261613555,0.03514266042186705,0.01466857886132111,1.1078528715907634,,0.0,,,,,,,
close_t:h10:fixed:0.0800:eligible:isotonic_calibration,close_t,10,fixed,0.08,eligible,isotonic_calibration,ewma_close_to_close_vol,arm_baseline_driven,1265.0,156822.0,0.9125139811897929,0.24543800115949488,0.030524925906065675,0.012243919314628426,0.46483398425324496,1.1196677959704218,0.011854963719221715,,,,,,,
