fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,calibration_method,calibration_protocol,calibration_row_count,evaluation_row_count,scored_row_count,positive_event_count,negative_event_count,event_base_rate,brier_score,brier_identity_uncalibrated,brier_calibrated,brier_retention,log_loss,expected_calibration_error,max_calibration_error,reliability_slope,reliability_intercept,roc_auc,average_precision,auc_retention_vs_identity,ap_retention_vs_identity,validation_market_event_block_count,monotonic_bin_status,calibration_fit_status,skip_reason
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,463,15247,0.029471674092934438,0.06456761345836746,0.06456761345836746,0.06456761345836746,0.0,0.2789803570074407,0.18068159728028435,0.9634434213023743,-0.00958450091253551,0.031485635128146436,0.4691947330643666,0.03215782882548096,1.0,1.0,14,non_monotonic,identity,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,463,15247,0.029471674092934438,0.03019218008130508,0.06456761345836746,0.03019218008130508,0.034375433377062385,0.14808398553061128,0.03882045199578526,0.7679039104143978,0.027117758355275873,0.0276223957490782,0.4691947330643666,0.03215782882548096,1.0,1.0,14,non_monotonic,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,463,15247,0.029471674092934438,0.029764113365137058,0.06456761345836746,0.029764113365137058,0.03480350009323041,0.1442180144051956,0.03176977383343269,0.03186523643571399,0.24099716671709837,0.01471265865702733,0.4864504733502083,0.03222821896267314,1.0367773529194209,1.0021888958229792,14,pass,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,151,15559,0.009611712285168682,0.017213435523452524,0.017213435523452524,0.017213435523452524,0.0,0.11502533465883658,0.07812799651668452,0.9916690927113729,0.10547006157913578,0.0003600059988913908,0.5811397674904625,0.021675031707716,1.0,1.0,10,non_monotonic,identity,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,151,15559,0.009611712285168682,0.009928030643785146,0.017213435523452524,0.009928030643785146,0.007285404879667378,0.06383978729922182,0.021084866563586917,0.2390390947353211,1.2478082259292407,-0.028588250969435982,0.5811397674904625,0.021675031707716,1.0,1.0,10,non_monotonic,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,151,15559,0.009611712285168682,0.009559944106612575,0.017213435523452524,0.009559944106612575,0.007653491416839948,0.10008134849593679,0.0031425956982517153,0.040237811513073096,0.36999985018748505,0.004943794726367924,0.5766567251593911,0.019300423927813046,0.9922857760183399,0.8904450147098226,10,pass,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,10,15700,0.0006365372374283895,0.0018316084717075424,0.0018316084717075424,0.0018316084717075424,0.0,0.025520223986420554,0.0223158614308003,0.8393264474886399,0.18053082787497177,-0.0035047839857487253,0.885891719745223,0.1326995009035879,1.0,1.0,3,non_monotonic,identity,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,10,15700,0.0006365372374283895,0.0007811028997389682,0.0018316084717075424,0.0007811028997389682,0.0010505055719685743,0.01591245313863675,0.012863262442925776,0.012863262442925776,3.181433600419744,-0.04231217906458604,0.885891719745223,0.1326995009035879,1.0,1.0,3,insufficient_non_empty_bins,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,isotonic_calibration,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,10,15700,0.0006365372374283895,0.0006103704366549503,0.0018316084717075424,0.0006103704366549503,0.001221238035052592,0.008571240136102602,0.000292296624151155,0.000292296624151155,1.7747973110987445,2.557992261296459e-05,0.8226687898089172,0.04608806909405924,0.9286335694000072,0.34731154812363824,3,insufficient_non_empty_bins,fitted,
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,validation_time_ordered_calibration_then_evaluation,15621,15710,15710,7,15703,0.00044557606619987267,0.0019536095964688025,0.0019536095964688025,0.0019536095964688025,0.0,0.01922759757590484,0.012953692559706107,0.8612712622289932,0.1327267889306022,-0.0013146146308401663,0.9455609028302144,0.15636838943992012,1.0,1.0,0,non_monotonic,identity,
