fold_id,horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
fold_1,5,fixed,0.03,eligible,empirical_event_rate,expanding_global_event_rate,732,732,49,0.06693989071038252,1.0,0.5,0.07322163823740116,0.06455337946788496,,,,,1.009376723662438,1.2194918783840065,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
fold_1,5,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
fold_1,5,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
fold_1,5,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
fold_1,10,fixed,0.03,eligible,empirical_event_rate,expanding_global_event_rate,732,732,58,0.07923497267759563,1.0,0.5,0.08019225739104804,0.07407702902445579,,,,,1.0232991612301958,1.2878254750175933,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,732,732,2,0.00273224043715847,1.0,0.5,0.00352890311875577,0.014818765116904059,,,,,0.0,2.489795918367347,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,20,fixed,0.03,diagnostic_only,empirical_event_rate,expanding_global_event_rate,732,732,67,0.09153005464480875,1.0,0.5,0.10161007768170367,0.08360067858102659,,,,,0.8858410649455426,1.114833993298812,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.05,eligible,empirical_event_rate,expanding_global_event_rate,732,732,8,0.01092896174863388,1.0,0.5,0.013931977326162205,0.0211678648212846,,,,,0.0,1.2448979591836735,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.08,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.1,eligible,empirical_event_rate,expanding_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,1,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,2,0.00273224043715847,1.0,0.5267123287671233,0.012867395762132604,0.019410291438979963,0.004859097146240889,-0.05128172401216864,0.009045792739189696,-0.05128172401216864,4.9459459459459465,2.489795918367347,0.0032389566990952546,0.004396645705667378,non_monotonic
fold_1,1,fixed,0.05,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05128172401216864,0.009045792739189696,-0.05128172401216864,,,0.0032389566990952546,0.004396645705667378,insufficient_unique_scores
fold_1,1,fixed,0.08,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05128172401216864,0.009045792739189696,-0.05128172401216864,,,0.0032389566990952546,0.004396645705667378,insufficient_unique_scores
fold_1,1,fixed,0.1,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05128172401216864,0.009045792739189696,-0.05128172401216864,,,0.0032389566990952546,0.004396645705667378,insufficient_unique_scores
fold_1,3,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,41,0.056010928961748634,1.0,0.5553810313790547,0.07833988430643093,0.05959699453551912,0.04437714865398069,-0.05979613058844644,0.04263806598034544,-0.07696279709318701,2.1713909030982204,1.7003484320557491,-0.00501236244691958,0.013894759468240054,non_monotonic
fold_1,3,fixed,0.05,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05979613058844644,0.04263806598034544,-0.07696279709318701,,,-0.00501236244691958,0.013894759468240054,insufficient_unique_scores
fold_1,3,fixed,0.08,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05979613058844644,0.04263806598034544,-0.07696279709318701,,,-0.00501236244691958,0.013894759468240054,insufficient_unique_scores
fold_1,3,fixed,0.1,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.05979613058844644,0.04263806598034544,-0.07696279709318701,,,-0.00501236244691958,0.013894759468240054,insufficient_unique_scores
fold_1,5,fixed,0.03,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,49,0.06693989071038252,1.0,0.5599695222159142,0.09730056596641827,0.06785063752276867,0.052228359325047116,-0.06267092236358265,0.07115495993782497,-0.13667250387879012,2.2206287920573633,1.7276134943773427,-0.008107884731934219,0.019823899593589777,non_monotonic
fold_1,5,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.06267092236358265,0.07115495993782497,-0.13667250387879012,,,-0.008107884731934219,0.019823899593589777,insufficient_unique_scores
fold_1,5,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.06267092236358265,0.07115495993782497,-0.13667250387879012,,,-0.008107884731934219,0.019823899593589777,insufficient_unique_scores
fold_1,5,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.06267092236358265,0.07115495993782497,-0.13667250387879012,,,-0.008107884731934219,0.019823899593589777,insufficient_unique_scores
fold_1,10,fixed,0.03,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,58,0.07923497267759563,1.0,0.5509567174869539,0.1077857618961958,0.07718579234972678,0.047963712571588435,-0.07035414616935215,0.09184075544108626,-0.23629578827712255,2.0465983224603916,1.5453905700211117,-0.009555595560313407,0.028431305509475754,non_monotonic
fold_1,10,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,2,0.00273224043715847,1.0,0.7938356164383562,0.02132936507936508,0.01901183970856102,0.05345006860864978,-0.07035414616935215,0.09184075544108626,-0.23629578827712255,4.9459459459459465,2.489795918367347,-0.009555595560313407,0.028431305509475754,non_monotonic
fold_1,10,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.07035414616935215,0.09184075544108626,-0.23629578827712255,,,-0.009555595560313407,0.028431305509475754,insufficient_unique_scores
fold_1,10,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.07035414616935215,0.09184075544108626,-0.23629578827712255,,,-0.009555595560313407,0.028431305509475754,insufficient_unique_scores
fold_1,20,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_event_rate,732,732,67,0.09153005464480875,1.0,0.5513747054202671,0.12672762196628484,0.08623633879781421,0.05162558327006479,-0.07619597050919774,-0.07175405247958265,-0.308296603356633,2.0669624848729327,1.4864453243984161,-0.010500198994209089,0.03717159748046156,non_monotonic
fold_1,20,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,8,0.01092896174863388,1.0,0.6465814917127072,0.03196989510841185,0.02481785063752277,0.05310810636176152,-0.07619597050919774,-0.07175405247958265,-0.308296603356633,2.4729729729729732,1.2448979591836735,-0.010500198994209089,0.03717159748046156,non_monotonic
fold_1,20,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.07619597050919774,-0.07175405247958265,-0.308296603356633,,,-0.010500198994209089,0.03717159748046156,insufficient_unique_scores
fold_1,20,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_event_rate,732,732,0,0.0,1.0,,,0.01730418943533698,,-0.07619597050919774,-0.07175405247958265,-0.308296603356633,,,-0.010500198994209089,0.03717159748046156,insufficient_unique_scores
fold_1,1,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,2,0.00273224043715847,1.0,0.45273972602739726,0.003382034632034632,0.021630236794171222,-0.009843032812327235,0.060712856952448886,-0.059191173695316165,0.060712856952448886,0.0,2.489795918367347,0.0018635123586404863,0.0041103329686140696,insufficient_unique_scores
fold_1,1,fixed,0.05,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.00022768670309653916,,0.0032266252306648383,-0.0008037364942612186,0.0032266252306648383,,,-0.007331214051109558,0.00925630400522145,insufficient_unique_scores
fold_1,1,fixed,0.08,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.0,,,,,,,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,1,fixed,0.1,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.0,,,,,,,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,3,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,41,0.056010928961748634,1.0,0.49978821785323496,0.058279279867373,0.2906420765027322,-0.0001739392877214471,-0.04689617937049303,0.02860071448875183,-0.06149037108587601,1.2063282794990113,1.2145345943255352,-0.008017893610625772,0.013421704610799083,non_monotonic
fold_1,3,fixed,0.05,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.028688524590163935,,-0.05586767530456209,0.06640452125768251,-0.06817165585672648,,,-0.007642923149553467,0.015802425131656,insufficient_unique_scores
fold_1,3,fixed,0.08,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.0,,,,,,,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,3,fixed,0.1,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.0,,,,,,,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,5,fixed,0.03,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,49,0.06693989071038252,1.0,0.4940837242656946,0.0704103622814594,0.7424863387978142,-0.006723875403649279,-0.07609002205479816,0.08757379558024021,-0.12676581624988378,1.8168781025923884,1.5243648479800083,-0.011486424248174226,0.01790303279450857,insufficient_unique_scores
fold_1,5,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.4385245901639344,,-0.08984351703855062,0.06173627620808323,-0.21074874366072524,,,-0.010101064385910883,0.017587560000257817,insufficient_unique_scores
fold_1,5,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.03278688524590164,,-0.03320231207255813,0.07159551170863318,-0.04896882655445621,,,-0.01122008190672475,0.018799394818490352,insufficient_unique_scores
fold_1,5,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.0020491803278688526,,0.0033700307964721647,-0.037507909393967476,-0.044168914268656455,,,-0.011272019895552857,0.013483588702634788,insufficient_unique_scores
fold_1,10,fixed,0.03,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,58,0.07923497267759563,1.0,0.5,0.08019225739104804,0.07407702902445579,,,,,1.0232991612301958,1.2878254750175933,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,2,0.00273224043715847,1.0,0.5,0.00352890311875577,0.014818765116904059,,,,,0.0,2.489795918367347,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,10,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.020776889361966717,insufficient_unique_scores
fold_1,20,fixed,0.03,diagnostic_only,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,67,0.09153005464480875,1.0,0.5,0.10161007768170367,0.08360067858102659,,,,,0.8858410649455426,1.114833993298812,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.05,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,8,0.01092896174863388,1.0,0.5,0.013931977326162205,0.0211678648212846,,,,,0.0,1.2448979591836735,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.08,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,20,fixed,0.1,eligible,entity_empirical_event_rate,rolling_entity_slice_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.012705517324560501,0.0315682198194443,insufficient_unique_scores
fold_1,1,fixed,0.03,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,2,0.00273224043715847,1.0,0.48561643835616436,0.01274294670846395,0.020451471647896124,-0.00261643692489894,-0.05727746766754826,0.03338663411679419,-0.05727746766754826,4.9459459459459465,2.489795918367347,0.002129266401070344,0.004636938243065799,non_monotonic
fold_1,1,fixed,0.05,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,0,0.0,1.0,,,0.01834536964425314,,-0.05727746766754826,0.03338663411679419,-0.05727746766754826,,,0.002129266401070344,0.004636938243065799,insufficient_unique_scores
fold_1,1,fixed,0.08,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,0,0.0,1.0,,,0.01834536964425314,,-0.05727746766754826,0.03338663411679419,-0.05727746766754826,,,0.002129266401070344,0.004636938243065799,insufficient_unique_scores
fold_1,1,fixed,0.1,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,0,0.0,1.0,,,0.01834536964425314,,-0.05727746766754826,0.03338663411679419,-0.05727746766754826,,,0.002129266401070344,0.004636938243065799,insufficient_unique_scores
fold_1,3,fixed,0.03,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,41,0.056010928961748634,1.0,0.5740178602943772,0.07997950045509433,0.059406427006372046,0.05931095011306405,-0.07193904422042692,0.062244852323854356,-0.09190340434285263,2.4126565589980227,1.943255350920856,-0.0059615023142469544,0.013893320755097778,non_monotonic
fold_1,3,fixed,0.05,diagnostic_only,entity_empirical_event_rate,expanding_entity_event_rate,732,732,0,0.0,1.0,,,0.01834536964425314,,-0.07193904422042692,0.062244852323854356,-0.09190340434285263,,,-0.0059615023142469544,0.013893320755097778,insufficient_unique_scores
