source,baseline_or_candidate_name,baseline_family,fold_id,slice_id,target_usage,horizon,threshold_value,metric_name,metric_close_t,metric_close_t_minus_1,metric_delta,row_count_close_t,row_count_close_t_minus_1,positive_event_count_close_t,positive_event_count_close_t_minus_1,score_available_rate_close_t,score_available_rate_close_t_minus_1,material_degradation_flag,asof_dependency_flag,asof_shift_status,deferred_reason
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_2,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.00273224043715847,0.00273224043715847,0.0,732,732,2,2,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_2,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.00273224043715847,0.00273224043715847,0.0,732,732,2,2,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_3,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.040983606557377046,0.045081967213114756,-0.0040983606557377095,732,732,30,33,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_3,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.040983606557377046,0.045081967213114756,-0.0040983606557377095,732,732,30,33,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_3,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.040983606557377046,0.045081967213114756,-0.0040983606557377095,732,732,30,33,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k1_5,volatility_scaled_threshold,fold_3,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.040983606557377046,0.045081967213114756,-0.0040983606557377095,732,732,30,33,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_1,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.00273224043715847,0.00546448087431694,-0.00273224043715847,732,732,2,4,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_1,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.00273224043715847,0.00546448087431694,-0.00273224043715847,732,732,2,4,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_1,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.00273224043715847,0.00546448087431694,-0.00273224043715847,732,732,2,4,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_1,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.00273224043715847,0.00546448087431694,-0.00273224043715847,732,732,2,4,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_2,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_2,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_2,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_2,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_3,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_3,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_3,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_0,volatility_scaled_threshold,fold_3,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.00273224043715847,0.001366120218579235,0.001366120218579235,732,732,2,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_1,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_1,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_1,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_1,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_2,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_2,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_2,h1:fixed:0.0800:diagnostic_only,diagnostic_only,1,0.08,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_2,h1:fixed:0.1000:diagnostic_only,diagnostic_only,1,0.1,event_base_rate,0.001366120218579235,0.001366120218579235,0.0,732,732,1,1,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_3,h1:fixed:0.0300:diagnostic_only,diagnostic_only,1,0.03,event_base_rate,0.0,0.0,0.0,732,732,0,0,1.0,1.0,False,False,pass,
volatility_scaled_threshold,rolling_close_to_close_vol_20__h1__k2_5,volatility_scaled_threshold,fold_3,h1:fixed:0.0500:diagnostic_only,diagnostic_only,1,0.05,event_base_rate,0.0,0.0,0.0,732,732,0,0,1.0,1.0,False,False,pass,
