fold_id,asof_mode,candidate_name,volatility_estimator,volatility_feature_column,horizon,k_value,threshold_type,source_threshold_type,source_threshold_value,target_usage,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,fixed_threshold_event_count,fixed_threshold_event_base_rate,vol_scaled_event_count,vol_scaled_event_base_rate,vol_scaled_to_fixed_event_count_ratio,threshold_abs_mean,threshold_abs_median,threshold_abs_p10,threshold_abs_p90,clamp_min_hit_rate,clamp_max_hit_rate,entity_count_with_positive_events,median_positive_events_per_entity,min_positive_events_per_fold,market_event_block_count,effective_event_evidence_count,largest_single_entity_share,largest_single_trade_date_share,entity_hhi,date_hhi,feature_asof_min,feature_asof_max,feature_asof_violation_count,prospective_holdout_score_count
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.0,volatility_scaled,fixed,0.08,diagnostic_only,732,732,49,0.06693989071038252,1.0,0,0.0,49,0.06693989071038252,,0.020290232802007466,0.02,0.02,0.020469871298110284,0.8961748633879781,0.0,43,1.0,49,1,11.5,0.04081632653061224,0.8163265306122449,0.025406080799666803,0.6934610578925449,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.0,volatility_scaled,fixed,0.1,diagnostic_only,732,732,49,0.06693989071038252,1.0,0,0.0,49,0.06693989071038252,,0.020290232802007466,0.02,0.02,0.020469871298110284,0.8961748633879781,0.0,43,1.0,49,1,11.5,0.04081632653061224,0.8163265306122449,0.025406080799666803,0.6934610578925449,2014-01-29,2014-02-12,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,8,0.01092896174863388,1.0,2,0.00273224043715847,8,0.01092896174863388,4.0,0.024305000843429566,0.02292881064821951,0.02,0.03059259760202762,0.2937158469945355,0.0,8,1.0,8,0,2.0,0.125,0.75,0.125,0.625,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,8,0.01092896174863388,1.0,0,0.0,8,0.01092896174863388,,0.024305000843429566,0.02292881064821951,0.02,0.03059259760202762,0.2937158469945355,0.0,8,1.0,8,0,2.0,0.125,0.75,0.125,0.625,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,8,0.01092896174863388,1.0,0,0.0,8,0.01092896174863388,,0.024305000843429566,0.02292881064821951,0.02,0.03059259760202762,0.2937158469945355,0.0,8,1.0,8,0,2.0,0.125,0.75,0.125,0.625,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,8,0.01092896174863388,1.0,0,0.0,8,0.01092896174863388,,0.024305000843429566,0.02292881064821951,0.02,0.03059259760202762,0.2937158469945355,0.0,8,1.0,8,0,2.0,0.125,0.75,0.125,0.625,2014-01-13,2014-01-20,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,2,0.00273224043715847,1.0,2,0.00273224043715847,2,0.00273224043715847,1.0,0.024605988200477897,0.02392780347932755,0.02,0.0300691532408015,0.17486338797814208,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.024605988200477897,0.02392780347932755,0.02,0.0300691532408015,0.17486338797814208,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.024605988200477897,0.02392780347932755,0.02,0.0300691532408015,0.17486338797814208,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.024605988200477897,0.02392780347932755,0.02,0.0300691532408015,0.17486338797814208,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,30,0.040983606557377046,1.0,13,0.017759562841530054,30,0.040983606557377046,2.3076923076923075,0.02404699373695036,0.022804658928341676,0.02,0.030704806947165424,0.24316939890710382,0.0,30,1.0,30,1,8.25,0.03333333333333333,0.9,0.03333333333333333,0.8200000000000001,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,30,0.040983606557377046,1.0,1,0.001366120218579235,30,0.040983606557377046,30.0,0.02404699373695036,0.022804658928341676,0.02,0.030704806947165424,0.24316939890710382,0.0,30,1.0,30,1,8.25,0.03333333333333333,0.9,0.03333333333333333,0.8200000000000001,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,30,0.040983606557377046,1.0,0,0.0,30,0.040983606557377046,,0.02404699373695036,0.022804658928341676,0.02,0.030704806947165424,0.24316939890710382,0.0,30,1.0,30,1,8.25,0.03333333333333333,0.9,0.03333333333333333,0.8200000000000001,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k1_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,1.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,30,0.040983606557377046,1.0,0,0.0,30,0.040983606557377046,,0.02404699373695036,0.022804658928341676,0.02,0.030704806947165424,0.24316939890710382,0.0,30,1.0,30,1,8.25,0.03333333333333333,0.9,0.03333333333333333,0.8200000000000001,2014-01-29,2014-02-12,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.03,diagnostic_only,732,732,2,0.00273224043715847,1.0,2,0.00273224043715847,2,0.00273224043715847,1.0,0.03138838548194855,0.03057174753095935,0.021839260054649902,0.04079013013603682,0.060109289617486336,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.05,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.03138838548194855,0.03057174753095935,0.021839260054649902,0.04079013013603682,0.060109289617486336,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.08,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.03138838548194855,0.03057174753095935,0.021839260054649902,0.04079013013603682,0.060109289617486336,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.1,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.03138838548194855,0.03057174753095935,0.021839260054649902,0.04079013013603682,0.060109289617486336,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-13,2014-01-20,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.03,diagnostic_only,732,732,2,0.00273224043715847,1.0,2,0.00273224043715847,2,0.00273224043715847,1.0,0.032375045764498005,0.03190373797243673,0.025314639707499906,0.040092204321068664,0.01912568306010929,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.05,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.032375045764498005,0.03190373797243673,0.025314639707499906,0.040092204321068664,0.01912568306010929,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.08,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.032375045764498005,0.03190373797243673,0.025314639707499906,0.040092204321068664,0.01912568306010929,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.1,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.032375045764498005,0.03190373797243673,0.025314639707499906,0.040092204321068664,0.01912568306010929,0.0,2,1.0,2,0,0.5,0.5,0.5,0.5,0.5,2014-01-21,2014-01-28,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.03,diagnostic_only,732,732,2,0.00273224043715847,1.0,13,0.017759562841530054,2,0.00273224043715847,0.15384615384615385,0.03141582879823981,0.03040621190445557,0.02392957212524203,0.04093974259622057,0.020491803278688523,0.0,2,1.0,2,0,0.5,0.5,1.0,0.5,1.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.05,diagnostic_only,732,732,2,0.00273224043715847,1.0,1,0.001366120218579235,2,0.00273224043715847,2.0,0.03141582879823981,0.03040621190445557,0.02392957212524203,0.04093974259622057,0.020491803278688523,0.0,2,1.0,2,0,0.5,0.5,1.0,0.5,1.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.08,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.03141582879823981,0.03040621190445557,0.02392957212524203,0.04093974259622057,0.020491803278688523,0.0,2,1.0,2,0,0.5,0.5,1.0,0.5,1.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.0,volatility_scaled,fixed,0.1,diagnostic_only,732,732,2,0.00273224043715847,1.0,0,0.0,2,0.00273224043715847,,0.03141582879823981,0.03040621190445557,0.02392957212524203,0.04093974259622057,0.020491803278688523,0.0,2,1.0,2,0,0.5,0.5,1.0,0.5,1.0,2014-01-29,2014-02-12,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,1,0.001366120218579235,1.0,2,0.00273224043715847,1,0.001366120218579235,0.5,0.039051627901094996,0.038214684413699185,0.02729907506831238,0.05098766267004603,0.02185792349726776,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.039051627901094996,0.038214684413699185,0.02729907506831238,0.05098766267004603,0.02185792349726776,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.039051627901094996,0.038214684413699185,0.02729907506831238,0.05098766267004603,0.02185792349726776,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.039051627901094996,0.038214684413699185,0.02729907506831238,0.05098766267004603,0.02185792349726776,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-13,2014-01-20,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,1,0.001366120218579235,1.0,2,0.00273224043715847,1,0.001366120218579235,0.5,0.040385798077981136,0.03987967246554591,0.03164329963437488,0.05011525540133583,0.009562841530054645,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.040385798077981136,0.03987967246554591,0.03164329963437488,0.05011525540133583,0.009562841530054645,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.040385798077981136,0.03987967246554591,0.03164329963437488,0.05011525540133583,0.009562841530054645,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-21,2014-01-28,0,0
fold_2,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,1,0.001366120218579235,1.0,0,0.0,1,0.001366120218579235,,0.040385798077981136,0.03987967246554591,0.03164329963437488,0.05011525540133583,0.009562841530054645,0.0,1,1.0,1,0,0.25,1.0,1.0,1.0,1.0,2014-01-21,2014-01-28,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.03,diagnostic_only,732,732,0,0.0,1.0,13,0.017759562841530054,0,0.0,0.0,0.03919445748948424,0.038007764880569464,0.029911965156552544,0.05117467824527571,0.009562841530054645,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.05,diagnostic_only,732,732,0,0.0,1.0,1,0.001366120218579235,0,0.0,0.0,0.03919445748948424,0.038007764880569464,0.029911965156552544,0.05117467824527571,0.009562841530054645,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.08,diagnostic_only,732,732,0,0.0,1.0,0,0.0,0,0.0,,0.03919445748948424,0.038007764880569464,0.029911965156552544,0.05117467824527571,0.009562841530054645,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2014-01-29,2014-02-12,0,0
fold_3,close_t,rolling_close_to_close_vol_20__h1__k2_5,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,1,2.5,volatility_scaled,fixed,0.1,diagnostic_only,732,732,0,0.0,1.0,0,0.0,0,0.0,,0.03919445748948424,0.038007764880569464,0.029911965156552544,0.05117467824527571,0.009562841530054645,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2014-01-29,2014-02-12,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h5__k1_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,5,1.0,volatility_scaled,fixed,0.03,eligible,732,732,88,0.12021857923497267,1.0,49,0.06693989071038252,88,0.12021857923497267,1.7959183673469388,0.03498529981442961,0.03418025283509323,0.02441703503024648,0.045604751897620546,0.03415300546448088,0.0,34,3.0,88,1,9.25,0.056818181818181816,0.375,0.03770661157024793,0.26420454545454547,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h5__k1_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,5,1.0,volatility_scaled,fixed,0.05,eligible,732,732,88,0.12021857923497267,1.0,0,0.0,88,0.12021857923497267,,0.03498529981442961,0.03418025283509323,0.02441703503024648,0.045604751897620546,0.03415300546448088,0.0,34,3.0,88,1,9.25,0.056818181818181816,0.375,0.03770661157024793,0.26420454545454547,2014-01-13,2014-01-20,0,0
fold_1,close_t,rolling_close_to_close_vol_20__h5__k1_0,rolling_close_to_close_vol_20,rolling_close_to_close_vol_20,5,1.0,volatility_scaled,fixed,0.08,eligible,732,732,88,0.12021857923497267,1.0,0,0.0,88,0.12021857923497267,,0.03498529981442961,0.03418025283509323,0.02441703503024648,0.045604751897620546,0.03415300546448088,0.0,34,3.0,88,1,9.25,0.056818181818181816,0.375,0.03770661157024793,0.26420454545454547,2014-01-13,2014-01-20,0,0
